"ALPHA3","Pathway","YEAR","Nmanure_Anim","ANIMAL","Anim_feas","NperTLU_live"
"GBR","Current Trend_Yes",2000,621706.619829462,"sheep_goats",4128.9890003,150.571149447066
"GBR","Current Trend_Yes",2005,517414.46296689,"sheep_goats",3436.33463058574,150.571617316179
"GBR","Current Trend_Yes",2010,457781.634227465,"sheep_goats",3038.07889130385,150.681285972465
"GBR","Current Trend_Yes",2015,490980.603820059,"sheep_goats",3258.86098863882,150.66018634478
"GBR","Current Trend_Yes",2020,480117.284032129,"sheep_goats",3163.14783071125,151.784649256868
"GBR","Current Trend_Yes",2025,487382.243440557,"sheep_goats",3223.94651267935,151.175660490566
"GBR","Current Trend_Yes",2030,493830.927506955,"sheep_goats",3264.54418342076,151.271019707717
"GBR","Current Trend_Yes",2035,499132.952337688,"sheep_goats",3297.78850339592,151.353839648511
"GBR","Current Trend_Yes",2040,503639.774856147,"sheep_goats",3324.76013652313,151.481536765184
"GBR","Current Trend_Yes",2045,507541.019930027,"sheep_goats",3346.57991998775,151.65961431212
"GBR","Current Trend_Yes",2050,510090.571409538,"sheep_goats",3301.21291602837,154.516107983492
"GBR","Current Trend_Yes",2000,74600.8259392295,"pigs",1634.24986,45.64836
"GBR","Current Trend_Yes",2005,55895.5037859944,"pigs",1224.47999853652,45.64836
"GBR","Current Trend_Yes",2010,51329.787671855,"pigs",1124.46071823511,45.64836
"GBR","Current Trend_Yes",2015,54540.7766315966,"pigs",1194.80254343412,45.64836
"GBR","Current Trend_Yes",2020,58177.5956684365,"pigs",1274.47285441222,45.64836
"GBR","Current Trend_Yes",2025,61855.2775169115,"pigs",1355.03833033457,45.64836
"GBR","Current Trend_Yes",2030,62758.1170339854,"pigs",1374.81646731636,45.64836
"GBR","Current Trend_Yes",2035,63500.4200354047,"pigs",1391.07779634153,45.64836
"GBR","Current Trend_Yes",2040,64131.3917847116,"pigs",1404.90023704492,45.64836
"GBR","Current Trend_Yes",2045,64677.5804616916,"pigs",1416.8653695706,45.64836
"GBR","Current Trend_Yes",2050,65034.5270577438,"pigs",1395.62727394613,46.598779109453
"GBR","GS_crop",2000,687166.649200948,"cattle",9946.8009993,69.0841858854226
"GBR","GS_crop",2005,664230.889126355,"cattle",9612.85286367535,69.098206177307
"GBR","GS_crop",2010,623724.626306531,"cattle",9028.28351067092,69.0856269156063
"GBR","GS_crop",2015,611888.857346179,"cattle",8857.06315518907,69.084847496847
"GBR","GS_crop",2020,589135.954758666,"cattle",8527.79760241742,69.0841858854225
"GBR","GS_crop",2025,658598.329881854,"cattle",9782.38333962289,67.3249357561204
"GBR","GS_crop",2030,662441.587515865,"cattle",9875.8745753701,67.076751781352
"GBR","GS_crop",2035,664593.813007251,"cattle",9944.1086353152,66.8329196090068
"GBR","GS_crop",2040,665611.258839583,"cattle",9995.15113764419,66.5934161148127
"GBR","GS_crop",2045,665797.368519719,"cattle",10033.3826183073,66.3582157531677
"GBR","GS_crop",2050,664104.665414006,"cattle",10042.8228444757,66.1272906729919
"GBR","GS_crop",2000,73409.3971847186,"chickens",1676.82969258067,43.778683971024
"GBR","GS_crop",2005,73726.659852753,"chickens",1683.63480785495,43.7901732066738
"GBR","GS_crop",2010,68408.1476868794,"chickens",1562.63964749219,43.7773019497262
"GBR","GS_crop",2015,70792.2271944623,"chickens",1616.71924258659,43.7875824878546
"GBR","GS_crop",2020,76873.478324429,"chickens",1756.47317209585,43.7658141016195
"GBR","GS_crop",2025,78737.5565771214,"chickens",1801.59607084803,43.7043340908591
"GBR","GS_crop",2030,79886.7983741552,"chickens",1827.89197380033,43.7043323780586
